"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"SUPPLIER";"VALUE";
"BL";"057-006-1";"057-006-1";"057-006-1";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";
"BLS";"ON";"SW_DIP-1";"EDG-01";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100nF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"BAV70";"BAV70";"SOT-23-3";"";"Unavailable";" Diode, Dual Switching, Sot-23 ";"Multicomp";"BAV70+";"";"";"";"SOT-23 Multicomp";"";"None";"";"";"";"";"";
"D2";"BAV70";"BAV70";"SOT-23-3";"";"Unavailable";" Diode, Dual Switching, Sot-23 ";"Multicomp";"BAV70+";"";"";"";"SOT-23 Multicomp";"";"None";"";"";"";"";"";
"D3";"BAV70";"BAV70";"SOT-23-3";"";"Unavailable";" Diode, Dual Switching, Sot-23 ";"Multicomp";"BAV70+";"";"";"";"SOT-23 Multicomp";"";"None";"";"";"";"";"";
"D4";"BAV70";"BAV70";"SOT-23-3";"";"Unavailable";" Diode, Dual Switching, Sot-23 ";"Multicomp";"BAV70+";"";"";"";"SOT-23 Multicomp";"";"None";"";"";"";"";"";
"EC1";"18p";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EC2";"18p";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EC3";"10u";"CPOL-EUCT3216";"CT3216";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"1";"";"";"";"C";"";"";
"EC4";"10n";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EC5";"10n";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EC6";"10u 25V B";"CPOL-EUSMCB";"SMC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"25";"";"";"";"C";"";"";
"EL1";"10µH";"INDUCTOR-0805-3.3UH";"0805";"Inductors";"";"";"";"";"";"";"";"";"";"";"NDUC-13076";"";"";"";"3.3µH/±20%/450mA";
"ENC";"ENC28J60-SSOP";"ENC28J60-SSOP";"SSOP28";"Microchip 10Mbit Eth. contoller with SPI interface";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ER1";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ER2";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ER3";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ER4";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ER10";"2.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ERN1";"49.9R";"4R-N0603-ARV";"0603-ARV";"Array Chip Resistor";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";
"GPIO";"057-014-1";"057-014-1";"057-014-1";"CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";"";
"IC1";"MCP23017SS";"MCP23017SS";"SSOP28";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"";"";"MICROCHIP";"";"MCP23017-E/SS";"1467674";"31K2960";"";"";"";"";"";"";"";"";
